request_id,success,latency,prompt_tokens,generated_tokens,tokens_per_sec,ttft_ms,tbt_ms,tpot_ms,queue_waiting_before,queue_running_before,queue_waiting_after,queue_running_after,batch_size
4956,True,0.7275679111480713,0,100,137.44421444068945,80.8260440826416,6.532746131974037,7.275679111480713,0.0,0.0,0.0,0.0,0.0
4957,True,0.6813256740570068,0,100,146.77268714173385,43.82944107055664,6.439355888752022,6.813256740570068,0.0,0.0,0.0,0.0,0.0
4958,True,0.6991596221923828,0,100,143.02885467903022,57.567596435546875,6.480727532897332,6.991596221923828,0.0,0.0,0.0,0.0,0.0
4959,True,0.726477861404419,0,100,137.65044375430946,65.23966789245605,6.679173671838009,7.2647786140441895,0.0,0.0,0.0,3.0,3.0
4960,True,0.41359472274780273,0,50,120.89129103924388,41.59855842590332,7.591758455548968,8.271894454956055,0.0,3.0,0.0,60.0,60.0
4961,True,0.5959498882293701,0,33,55.37378335290317,52.32048034667969,16.988418996334076,18.059087522102125,0.0,58.0,0.0,6.0,6.0
4962,True,0.1777200698852539,0,8,45.01461205346842,67.43192672729492,15.75544902256557,22.21500873565674,0.0,42.0,0.0,40.0,40.0
4963,True,0.24496006965637207,0,20,81.64595980094157,74.4941234588623,8.971891905132093,12.248003482818604,0.0,39.0,0.0,45.0,45.0
4964,True,0.7824099063873291,0,65,83.07665773319336,190.48476219177246,9.248830378055573,12.037075482881987,0.0,27.0,0.0,58.0,58.0
4965,True,0.6203792095184326,0,44,70.9243625913171,26.375770568847656,13.814033463943836,14.099527489055287,0.0,58.0,0.0,56.0,56.0
4966,True,0.7519927024841309,0,76,101.06481053465251,35.65359115600586,9.551188151041666,9.894640822159616,0.0,57.0,0.0,26.0,26.0
4967,True,0.6903543472290039,0,81,117.33104937359181,48.307180404663086,8.02558958530426,8.522893175666715,0.0,34.0,0.0,26.0,26.0
4968,True,0.7847855091094971,0,82,104.48714846053429,132.049560546875,8.058468500773111,9.570554989140208,0.0,24.0,0.0,27.0,27.0
4969,True,0.7804458141326904,0,68,87.12968763317465,174.77822303771973,9.039814792462249,11.477144325480742,0.0,17.0,0.0,54.0,54.0
4970,True,0.6103513240814209,0,52,85.196833280013,28.561115264892578,11.407651153265261,11.737525463104248,0.0,52.0,0.0,55.0,55.0
4971,True,0.6125285625457764,0,44,71.83338490719235,51.45668983459473,13.04818308630655,13.92110369422219,0.0,55.0,0.0,34.0,34.0
4972,True,0.706557035446167,0,80,113.22511274618148,39.79134559631348,8.440072023415867,8.831962943077087,0.0,51.0,0.0,0.0,0.0
4973,True,0.6767740249633789,0,100,147.75980801776652,47.73449897766113,6.353934605916341,6.767740249633789,0.0,0.0,0.0,0.0,0.0
4974,True,0.8069655895233154,0,100,123.92102129047565,27.554035186767578,7.872843983197453,8.069655895233154,0.0,0.0,0.0,0.0,0.0
4975,True,0.6830923557281494,0,99,144.92915807038995,35.356760025024414,6.609546894929847,6.899922785132822,0.0,0.0,0.0,0.0,0.0
4976,False,0.20694732666015625,0,0,0,0,0,0,0.0,0.0,0.0,27.0,27.0
4977,True,0.734997034072876,0,75,102.04122809094716,62.57891654968262,9.086731317880991,9.799960454305014,0.0,27.0,0.0,5.0,5.0
